Reporting Period,Permissions,Chart Feature 1,Chart Feature 2,GBP Value,Ratio,Chart,Year
2021Q4,Life,Total SCR,NA,69142943000,NA,Chart 1.1,2021
2021Q4,Life,SCRCapital_Coverage,NA,NA,162.95294227714905,Chart 1.1,2021
2021Q4,Non-Life,Total eligible own funds to meet SCR,NA,67816594000,NA,Chart 1.1,2021
2021Q4,Non-Life,Total SCR,NA,38240281000,NA,Chart 1.1,2021
2021Q4,Non-Life,SCRCapital_Coverage,NA,NA,177.34334885215895,Chart 1.1,2021
2022Q1,Life,Total eligible own funds to meet SCR,NA,111368981000,NA,Chart 1.1,2022
2022Q1,Life,Total SCR,NA,64095418000,NA,Chart 1.1,2022
2022Q1,Life,SCRCapital_Coverage,NA,NA,173.7549814766655,Chart 1.1,2022
2022Q1,Non-Life,Total eligible own funds to meet SCR,NA,67879747000,NA,Chart 1.1,2022
2022Q1,Non-Life,Total SCR,NA,38398068000,NA,Chart 1.1,2022
2022Q1,Non-Life,SCRCapital_Coverage,NA,NA,176.77906682603785,Chart 1.1,2022
2022Q2,Life,Total eligible own funds to meet SCR,NA,104279850000,NA,Chart 1.1,2022
2022Q2,Life,Total SCR,NA,56901604000,NA,Chart 1.1,2022
2022Q2,Life,SCRCapital_Coverage,NA,NA,183.2634631115278,Chart 1.1,2022
2022Q2,Non-Life,Total eligible own funds to meet SCR,NA,69340085000,NA,Chart 1.1,2022
2022Q2,Non-Life,Total SCR,NA,38696906000,NA,Chart 1.1,2022
2022Q2,Non-Life,SCRCapital_Coverage,NA,NA,179.18767324753676,Chart 1.1,2022
2022Q3,Life,Total eligible own funds to meet SCR,NA,102579808000,NA,Chart 1.1,2022
2022Q3,Life,Total SCR,NA,51494952000,NA,Chart 1.1,2022
2022Q3,Life,SCRCapital_Coverage,NA,NA,199.20362049138075,Chart 1.1,2022
2022Q3,Non-Life,Total eligible own funds to meet SCR,NA,71970770000,NA,Chart 1.1,2022
2022Q3,Non-Life,Total SCR,NA,39934576000,NA,Chart 1.1,2022
2022Q3,Non-Life,SCRCapital_Coverage,NA,NA,180.2216955027131,Chart 1.1,2022
2022Q4,Life,Total eligible own funds to meet SCR,NA,98556836000,NA,Chart 1.1,2022
2022Q4,Life,Total SCR,NA,52196974000,NA,Chart 1.1,2022
2022Q4,Life,SCRCapital_Coverage,NA,NA,188.81714514535668,Chart 1.1,2022
2022Q4,Non-Life,Total eligible own funds to meet SCR,NA,75028752000,NA,Chart 1.1,2022
2022Q4,Non-Life,Total SCR,NA,39144493000,NA,Chart 1.1,2022
2022Q4,Non-Life,SCRCapital_Coverage,NA,NA,191.6712841141065,Chart 1.1,2022
2023Q1,Life,Total eligible own funds to meet SCR,NA,98115241000,NA,Chart 1.1,2023
2023Q1,Life,Total SCR,NA,54100490000,NA,Chart 1.1,2023
2023Q1,Life,SCRCapital_Coverage,NA,NA,181.3573974484589,Chart 1.1,2023
2023Q1,Non-Life,Total eligible own funds to meet SCR,NA,74697658000,NA,Chart 1.1,2023
2023Q1,Non-Life,Total SCR,NA,40801169000,NA,Chart 1.1,2023
2023Q1,Non-Life,SCRCapital_Coverage,NA,NA,183.0772512549574,Chart 1.1,2023
2023Q2,Life,Total eligible own funds to meet SCR,NA,95778818000,NA,Chart 1.1,2023
2023Q2,Life,Total SCR,NA,50025735000,NA,Chart 1.1,2023
2023Q2,Life,SCRCapital_Coverage,NA,NA,191.4590931581828,Chart 1.1,2023
2023Q2,Non-Life,Total eligible own funds to meet SCR,NA,75445675000,NA,Chart 1.1,2023
2023Q2,Non-Life,Total SCR,NA,40056051000,NA,Chart 1.1,2023
2023Q2,Non-Life,SCRCapital_Coverage,NA,NA,188.35025784028622,Chart 1.1,2023
2023Q3,Life,Total eligible own funds to meet SCR,NA,95282395000,NA,Chart 1.1,2023
2023Q3,Life,Total SCR,NA,49032576000,NA,Chart 1.1,2023
2023Q3,Life,SCRCapital_Coverage,NA,NA,194.32467654885622,Chart 1.1,2023
2023Q3,Non-Life,Total eligible own funds to meet SCR,NA,79731213000,NA,Chart 1.1,2023
2023Q3,Non-Life,Total SCR,NA,40681423000,NA,Chart 1.1,2023
2023Q3,Non-Life,SCRCapital_Coverage,NA,NA,195.9892413022608,Chart 1.1,2023
2023Q4,Life,Total eligible own funds to meet SCR,NA,98393499000,NA,Chart 1.1,2023
2023Q4,Life,Total SCR,NA,51670116000,NA,Chart 1.1,2023
2023Q4,Life,SCRCapital_Coverage,NA,NA,190.42631585216253,Chart 1.1,2023
2023Q4,Non-Life,Total eligible own funds to meet SCR,NA,82398631000,NA,Chart 1.1,2023
2023Q4,Non-Life,Total SCR,NA,40935834000,NA,Chart 1.1,2023
2023Q4,Non-Life,SCRCapital_Coverage,NA,NA,201.2872903648623,Chart 1.1,2023
2024Q1,Life,Total eligible own funds to meet SCR,NA,99951109000,NA,Chart 1.1,2024
2024Q1,Life,Total SCR,NA,52571258000,NA,Chart 1.1,2024
2024Q1,Life,SCRCapital_Coverage,NA,NA,190.125009000958,Chart 1.1,2024
2024Q1,Non-Life,Total eligible own funds to meet SCR,NA,80854324000,NA,Chart 1.1,2024
2024Q1,Non-Life,Total SCR,NA,40902732000,NA,Chart 1.1,2024
2024Q1,Non-Life,SCRCapital_Coverage,NA,NA,197.67462758788474,Chart 1.1,2024
2024Q2,Life,Total eligible own funds to meet SCR,NA,97128935000,NA,Chart 1.1,2024
2024Q2,Life,Total SCR,NA,50995964000,NA,Chart 1.1,2024
2024Q2,Life,SCRCapital_Coverage,NA,NA,190.46396564741295,Chart 1.1,2024
2024Q2,Non-Life,Total eligible own funds to meet SCR,NA,82836730000,NA,Chart 1.1,2024
2024Q2,Non-Life,Total SCR,NA,41297812000,NA,Chart 1.1,2024
2024Q2,Non-Life,SCRCapital_Coverage,NA,NA,200.58382495987618,Chart 1.1,2024
2024Q3,Life,Total eligible own funds to meet SCR,NA,97456213000,NA,Chart 1.1,2024
2024Q3,Life,Total SCR,NA,52680476000,NA,Chart 1.1,2024
2024Q3,Life,SCRCapital_Coverage,NA,NA,184.994937092251,Chart 1.1,2024
2024Q3,Non-Life,Total eligible own funds to meet SCR,NA,83145088000,NA,Chart 1.1,2024
2024Q3,Non-Life,Total SCR,NA,40575216000,NA,Chart 1.1,2024
2024Q3,Non-Life,SCRCapital_Coverage,NA,NA,204.915946714443,Chart 1.1,2024
2024Q4,Life,Total eligible own funds to meet SCR,NA,95616069000,NA,Chart 1.1,2024
2024Q4,Life,Total SCR,NA,50631526000,NA,Chart 1.1,2024
2024Q4,Life,SCRCapital_Coverage,NA,NA,188.84690349633175,Chart 1.1,2024
2024Q4,Non-Life,Total eligible own funds to meet SCR,NA,87364891000,NA,Chart 1.1,2024
