h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
10,0.7557417642415019,0.7557417642415012,3.1839730143720764e-16,-7.128356460602829e-17,1.0668556150110311e-17,1.2229208895386827e-18,-2.7320927762764444e-18,0.028247524900000025,0.4173356022935952,0.25040136137615715,0.17222595442519192,0.11436050211259619,-0.6719507848234965,-0.6824745202122335,0.010523735388737007,0.07516953849097896,0.35662544537343555,-1.8356176916340974e-18,0.6719507848234968,0.6719507848234971
11,0.6719507848234971,0.6719507848234966,2.4516592210664984e-16,-5.4888344746641776e-17,8.21478823558494e-18,9.416490849447857e-19,-2.1037114377328618e-18,0.01977326743000002,0.37944037621723015,0.2276642257303381,0.15225572818896083,0.0959011315244806,-0.594261525208826,-0.5962510927932818,0.0019895675844557315,0.014211197031826925,0.3190371854417438,-1.3899353719565112e-18,0.5942615252088262,0.5942615252088265
12,0.5942615252088266,0.5942615252088261,1.8721761324507804e-16,-4.191473598834463e-17,6.273111016264864e-18,7.190774830487456e-19,-1.6064705524505487e-18,0.013841287201000014,0.3412864079298184,0.20477184475789106,0.13405509981189195,0.08086883710694612,-0.5233786205740603,-0.5201103839669773,-0.0032682366070830027,-0.02334454719344979,0.28348281907679357,-1.0464568518384077e-18,0.5233786205740605,0.5233786205740607
13,0.5233786205740606,0.5233786205740603,1.4197335671085084e-16,-3.1785341457828e-17,4.757109187334188e-18,5.453004246452987e-19,-1.2182401689416658e-18,0.00968890104070001,0.3044998411948391,0.18269990471690348,0.1176554038419251,0.0685166029616627,-0.45945768500003287,-0.4531297270142829,-0.0063279579857499985,-0.0451996998982141,0.2505831023811721,-7.839712603150805e-19,0.45945768500003303,0.4594576850000332
14,0.4594576850000332,0.4594576850000329,1.0702606890510295e-16,-2.3961257406670338e-17,3.58612846429808e-18,4.1107262780953293e-19,-9.183656658175633e-19,0.006782230728490008,0.270012745146006,0.16200764708760362,0.10300369901049548,0.05828408023373786,-0.40231498331864063,-0.39438329177910825,-0.00793169153953252,-0.05665493956808932,0.22060863057415186,-5.847959070402927e-19,0.40231498331864074,0.40231498331864085
15,0.40231498331864096,0.4023149833186407,8.026955167882721e-17,-1.797094305500275e-17,2.6895963482235602e-18,3.083044708571497e-19,-6.887742493631723e-19,0.004747561509943006,0.23829880251562657,0.14297928150937597,0.08999802286411702,0.049746572942001605,-0.35156821291356755,-0.342980319134544,-0.008587893779023598,-0.06134209842159701,0.1936067189366988,-4.345683523020204e-19,0.3515682129135676,0.35156821291356766
16,0.35156821291356777,0.35156821291356755,5.993459858685764e-17,-1.3418304147735384e-17,2.0082319400069248e-18,2.3020067157333843e-19,-5.142847728578352e-19,0.0033232930569601048,0.20953463350352497,0.12572078010211502,0.07851074195410299,0.042578664034011685,-0.30672986003404035,-0.29808691944796595,-0.008642940586074479,-0.061735289900531905,0.16948731180425852,-3.2184569877308516e-19,0.3067298600340404,0.30672986003404046
17,0.3067298600340405,0.30672986003404035,4.457635769897537e-17,-9.979863709878191e-18,1.4936225053801503e-18,1.7121174948267046e-19,-3.824992998130148e-19,0.0023263051398720734,0.1837095517509999,0.11022573105059996,0.06840374578653657,0.03652817803314043,-0.2672680495961866,-0.25893702717038225,-0.00833102242580442,-0.05950730304146008,0.14808059843529509,-2.376454856543292e-19,0.26726804959618666,0.2672680495961867
18,0.2672680495961867,0.26726804959618655,3.303894747100528e-17,-7.396840161439128e-18,1.1070378569288173e-18,1.268981202048028e-19,-2.834994810378815e-19,0.0016284135979104516,0.1606996450655948,0.09641978703935691,0.05953808471854531,0.03139745595718317,-0.2326452396833075,-0.224836337962752,-0.00780890172055553,-0.055777869432539456,0.12917515936236745,-1.7499928751724918e-19,0.23264523968330753,0.23264523968330755
19,0.23264523968330758,0.23264523968330741,2.4412111186909454e-17,-5.465443008174466e-18,8.179779720640705e-19,9.376361104021542e-20,-2.0947461654465682e-19,0.0011398895185373162,0.1403172495099829,0.08419034970598975,0.05177985151279492,0.02702981527493483,-0.20234192678406793,-0.19516183050294622,-0.007180096281121754,-0.05128640200801248,0.11254277504614557,-1.285527145535275e-19,0.20234192678406795,0.20234192678406798
20,0.20234192678406804,0.20234192678406793,1.7987871400880648e-17,-4.0271685323390805e-18,6.027206109945783e-19,6.90889765559482e-20,-1.5434971745395764e-19,0.0007979226629761214,0.12234351613539171,0.07340610968123504,0.045003548649525896,0.023299696987739114,-0.1758703088159116,-0.16935862829631976,-0.00651168051959186,-0.046512003711370396,0.09795415035600835,-9.422414949148642e-20,0.17587030881591162,0.17587030881591165
