h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
30,-0.00019095319762164797,-5.0007295301017604e-05,-2.8383773776929074e-19,2.2539340290692003e-05,0.0,0.0,0.0,0.0,-8.637186264363059e-05,-5.182311758617835e-05,-3.135860546769275e-05,-1.5679302733846407e-05,5.859402543089329e-05,7.443809568535015e-05,-1.584407025445683e-05,-0.00011317193038897763,-9.002768770253347e-05,0.0,-5.859402543089357e-05,-0.00015725615705533476
31,-0.0001572561570553348,-5.8594025430893585e-05,-2.0530929698645358e-19,1.5777538203484395e-05,0.0,0.0,0.0,0.0,-7.486888806278434e-05,-4.4921332837670605e-05,-2.7182277314692604e-05,-1.359113865734633e-05,6.146317254341406e-05,7.166661282410387e-05,-1.0203440280689772e-05,-7.288171629064145e-05,-7.447280918041836e-05,0.0,-6.146317254341427e-05,-0.00013052666468052308
32,-0.00013052666468052308,-6.146317254341425e-05,-1.4835252427408253e-19,1.1044276742439072e-05,0.0,0.0,0.0,0.0,-6.489787562976787e-05,-3.893872537786072e-05,-2.356215109036275e-05,-1.1781075545181401e-05,6.0748403940123024e-05,6.712158804702321e-05,-6.3731841069001715e-06,-4.5522743620715666e-05,-6.205903069163468e-05,0.0,-6.0748403940123173e-05,-0.00010909284843609932
33,-0.00010909284843609932,-6.074840394012315e-05,-1.070919784603533e-19,7.730993719707348e-06,0.0,0.0,0.0,0.0,-5.6254799159363726e-05,-3.375287949561824e-05,-2.042415201558549e-05,-1.0212076007792765e-05,5.788756537849567e-05,6.168201516004886e-05,-3.794449781553163e-06,-2.7103212725379844e-05,-5.204716960888448e-05,0.0,-5.788756537849578e-05,-9.172867652567906e-05
34,-9.172867652567908e-05,-5.788756537849577e-05,-7.723603295019418e-20,5.411695603795142e-06,0.0,0.0,0.0,0.0,-4.8762804602633026e-05,-2.925768276157982e-05,-1.7704070564523427e-05,-8.852035282261732e-06,5.383884848562358e-05,5.591698564681638e-05,-2.078137161192782e-06,-1.484383686566281e-05,-4.389274299539362e-05,0.0,-5.3838848485623655e-05,-7.752762628865195e-05
35,-7.752762628865195e-05,-5.3838848485623635e-05,-5.565537668469873e-20,3.7881869226565977e-06,0.0,0.0,0.0,0.0,-4.2268591271270696e-05,-2.536115476276242e-05,-1.534624861362401e-05,-7.673124306812022e-06,4.9231119628195286e-05,5.0184812822015443e-05,-9.536931938201566e-07,-6.812094241572606e-06,-3.719116088623762e-05,0.0,-4.923111962819534e-05,-6.581326409031514e-05
36,-6.581326409031514e-05,-4.923111962819532e-05,-4.007187121298307e-20,2.6517308458596172e-06,0.0,0.0,0.0,0.0,-3.663927500924075e-05,-2.198356500554445e-05,-1.3302440568841938e-05,-6.651220284420983e-06,4.446829342594504e-05,4.470159922352574e-05,-2.3330579758069097e-07,-1.6664699827192671e-06,-3.1638881713882594e-05,0.0,-4.446829342594508e-05,-5.607579454942894e-05
37,-5.6075794549428944e-05,-4.4468293425945076e-05,-2.8829485122673926e-20,1.8562115921017314e-06,0.0,0.0,0.0,0.0,-3.175966912612029e-05,-1.9055801475672172e-05,-1.1530826167541412e-05,-5.765413083770718e-06,3.9801651609942254e-05,3.958852341444744e-05,2.1312819549482142e-07,1.5223442535344042e-06,-2.7005805143781205e-05,0.0,-3.980165160994228e-05,-4.7926902396380976e-05
38,-4.792690239638098e-05,-3.980165160994227e-05,-2.072606227738179e-20,1.2993481144712115e-06,0.0,0.0,0.0,0.0,-2.7529927454793825e-05,-1.65179564728763e-05,-9.995154755097153e-06,-4.997577377548587e-06,3.53798225216284e-05,3.490432497921532e-05,4.754975424130817e-07,3.3964110172362737e-06,-2.3115586494718633e-05,0.0,-3.537982252162842e-05,-4.10674980721355e-05
39,-4.106749807213551e-05,-3.5379822521628405e-05,-1.489003947822428e-20,9.095436801298477e-07,0.0,0.0,0.0,0.0,-2.3863501305902753e-05,-1.4318100783541652e-05,-8.664003526439634e-06,-4.332001763219826e-06,3.128320878835435e-05,3.066751026298061e-05,6.156985253737471e-07,4.397846609812461e-06,-1.9831544288348055e-05,0.0,-3.128320878835436e-05,-3.526458167370932e-05
