h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
21,-0.006788487107705069,-0.006788487107705066,0.0005585458640832813,0.0,0.0,0.0,0.0,0.0,-0.004193656940621806,-0.002516194164373084,-0.0015225703075364726,-0.0007612851537682378,0.0064558115978510956,0.006030622285592466,0.0004251893122586309,0.0035956123802163586,-0.0030860526206874708,0.0,-0.005897265733767814,-0.005897265733767814
22,-0.005897265733767814,-0.005897265733767813,0.0003909821048582968,0.0,0.0,0.0,0.0,0.0,-0.003635147170052217,-0.002181088302031331,-0.001319794924337823,-0.0006598974621689128,0.005511858924502334,0.0051711395907482575,0.00034071933375407653,0.002824691631673129,-0.002716340934469671,0.0,-0.005120876819644037,-0.005120876819644037
23,-0.005120876819644037,-0.005120876819644035,0.0002736874734008077,0.0,0.0,0.0,0.0,0.0,-0.003151019536180592,-0.0018906117217083553,-0.0011440250960405348,-0.0005720125480202686,0.004718872519434463,0.00444302045766983,0.0002758520617646347,0.002244059343148198,-0.0023834810037892742,0.0,-0.004445185046033655,-0.004445185046033655
24,-0.004445185046033656,-0.004445185046033654,0.00019158123138056534,0.0,0.0,0.0,0.0,0.0,-0.0027313678519511296,-0.001638820711170678,-0.0009916642322497279,-0.000495832116124865,0.0040491714536083296,0.0038237005462038957,0.00022547090740443422,0.0018020877128408096,-0.0020862808200957004,0.0,-0.003857590222227764,-0.003857590222227764
25,-0.0038575902222277646,-0.003857590222227763,0.00013410686196639571,0.0,0.0,0.0,0.0,0.0,-0.0023676052328494854,-0.0014205631397096914,-0.0008595947352265066,-0.0004297973676132542,0.0034810339226768127,0.003295141443185529,0.00018589247949128386,0.0014619102869041375,-0.0018225923574973417,0.0,-0.003346927060710417,-0.003346927060710417
26,-0.003346927060710417,-0.003346927060710416,9.387480337647697e-05,0.0,0.0,0.0,0.0,0.0,-0.0020522883926498534,-0.0012313730355899121,-0.0007451142078128842,-0.00037255710390644283,0.0029972218363726747,0.0028427716562503895,0.00015445018012228524,0.0011970903756785144,-0.0015897733254054032,0.0,-0.0029033470329961975,-0.0029033470329961975
27,-0.002903347032996198,-0.0029033470329961966,6.571236236353387e-05,0.0,0.0,0.0,0.0,0.0,-0.0017789653393932496,-0.00106737920363595,-0.0006458801571630448,-0.0003229400785815231,0.0025839064355062218,0.0024547055191645514,0.000129200916341671,0.0009885760505183266,-0.001384987095945269,0.0,-0.0025181940731426877,-0.0025181940731426877
28,-0.0025181940731426886,-0.0025181940731426877,4.59986536544737e-05,0.0,0.0,0.0,0.0,0.0,-0.0015420433551623567,-0.0009252260130974141,-0.0005598620628124145,-0.00027993103140620785,0.0022298801679738805,0.0021211619344801004,0.00010871823349378046,0.0008225574643243339,-0.0012053924567163466,0.0,-0.002183881514319407,-0.002183881514319407
29,-0.0021838815143194073,-0.002183881514319406,3.219905755813158e-05,0.0,0.0,0.0,0.0,0.0,-0.0013366745582639658,-0.0008020047349583796,-0.00048529982830459735,-0.00024264991415229916,0.0019259737479852446,0.0018340275958281613,9.194615215708338e-05,0.0006889572872515841,-0.0010482589310491096,0.0,-0.001893774690427113,-0.001893774690427113
30,-0.001893774690427113,-0.0018937746904271124,2.25393402906921e-05,0.0,0.0,0.0,0.0,0.0,-0.0011586567062001007,-0.0006951940237200605,-0.0004206677662161631,-0.000210333883108082,0.0016646210059370957,0.0015865253277055399,7.80956782315561e-05,0.0005803656133732356,-0.0009110323270430342,0.0,-0.0016420816656464035,-0.0016420816656464035
31,-0.0016420816656464035,-0.0016420816656464031,1.5777538203484466e-05,0.0,0.0,0.0,0.0,0.0,-0.001004347209664892,-0.0006026083257989353,-0.00036464337964328946,-0.0001823216898216451,0.0014395307997881364,0.0013729594589665674,6.657134082156933e-05,0.0004912871155004081,-0.000791367467771291,0.0,-0.001423753261584652,-0.001423753261584652
32,-0.0014237532615846522,-0.0014237532615846518,1.1044276742439125e-05,0.0,0.0,0.0,0.0,0.0,-0.0008705885981273986,-0.0005223531588764392,-0.00031608030135913767,-0.0001580401506795692,0.001245436997013518,0.0011885181117040765,5.6918885309441614e-05,0.00041760774323845056,-0.000687139700163527,0.0,-0.0012343927202710788,-0.0012343927202710788
33,-0.0012343927202710788,-0.0012343927202710784,7.730993719707385e-06,0.0,0.0,0.0,0.0,0.0,-0.000754643911882143,-0.00045278634712928587,-0.0002739848369248239,-0.00013699241846241222,0.0010779058169712425,0.0010291179242519573,4.878789271928564e-05,0.00035621594171460474,-0.0005964430675123982,0.0,-0.0010701748232515352,-0.0010701748232515352
34,-0.0010701748232515354,-0.001070174823251535,5.411695603795169e-06,0.0,0.0,0.0,0.0,0.0,-0.000654140698563855,-0.00039248441913831294,-0.0002374956317806996,-0.00011874781589035004,0.0009331856755120768,0.0008912807260406865,4.1904949471390525e-05,0.00030473276325658456,-0.0005175804628259678,0.0,-0.0009277739799082817,-0.0009277739799082817
35,-0.0009277739799082819,-0.0009277739799082815,3.788186922656617e-06,0.0,0.0,0.0,0.0,0.0,-0.0005670224681868707,-0.0003402134809121225,-0.00020586604626733368,-0.00010293302313366705,0.000808088818148888,0.0007720345273342145,3.6054290814673575e-05,0.0002613188355988964,-0.00044904930977584883,0.0,-0.0008043006312262314,-0.0008043006312262314
36,-0.0008043006312262315,-0.0008043006312262312,2.6517308458596316e-06,0.0,0.0,0.0,0.0,0.0,-0.0004915066133854776,-0.00029490396803128654,-0.00017844887793505977,-8.922443896753006e-05,0.0006998969709210753,0.0006688332184563073,3.106375246476818e-05,0.00022453567702277513,-0.0003895251020075379,0.0,-0.0006972452400752157,-0.0006972452400752157
37,-0.0006972452400752158,-0.0006972452400752155,1.8562115921017418e-06,0.0,0.0,0.0,0.0,0.0,-0.0004260479338219899,-0.000255628760293194,-0.00015468311853101725,-7.734155926550879e-05,0.000606285334193282,0.0005794908297819254,2.679450441135664e-05,0.00019324552881607772,-0.00033784430062876197,0.0,-0.0006044291226011803,-0.0006044291226011803
