h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
10,0.00852509161403585,0.008525091614035855,-2.941507363110585e-18,1.4882395067177514e-18,1.341970236049904e-19,-9.329995298369466e-18,0.02824752489999985,0.0,0.00590361443665562,0.0035421686619933686,0.0021433961279299875,0.0010716980639649961,-0.007579893386589459,-0.007480268134693226,-9.962525189623392e-05,-0.0007116089421159583,0.0038222747491047744,0.010451584212999944,0.0075798933865894565,0.0075798933865894496
11,0.00757989338658945,0.007579893386589454,-2.2649606695951498e-18,1.145944420172668e-18,1.0333170817584255e-19,-7.184096379744487e-18,0.019773267429999884,0.0,0.005117373122396149,0.003070423873437687,0.0018579393782244618,0.000928969689112233,-0.006703525178586019,-0.006573132101092883,-0.0001303930774931365,-0.0009313791249509762,0.0034584470593837743,0.0073161089490999575,0.006703525178586018,0.006703525178586012
12,0.006703525178586012,0.006703525178586014,-1.729606329509023e-18,8.75084829950037e-19,7.890784987973426e-20,-5.486037235441243e-18,0.01384128720099991,0.0,0.004435843152497211,0.002661505891498325,0.0016104996590111666,0.000805249829505585,-0.005903935577385621,-0.00576008308717373,-0.00014385249021189186,-0.0010275177872278002,0.003099507355663277,0.005121276264369967,0.005903935577385619,0.005903935577385616
13,0.005903935577385617,0.0059039355773856175,-1.3116181332110086e-18,6.636059960454444e-19,5.98384528254651e-20,-4.160244903542941e-18,0.009688901040699931,0.0,0.00384507910659112,0.0023070474639546707,0.0013960138754116722,0.0006980069377058375,-0.005182879976640323,-0.00503660812881501,-0.00014627184782531338,-0.0010447989130379536,0.0027578745953655524,0.0035848933850589756,0.005182879976640322,0.0051828799766403194
14,0.005182879976640319,0.00518287997664032,-9.887582850359907e-19,5.002568277881041e-19,4.510898751458136e-20,-3.1361846195939088e-18,0.006782230728489948,0.0,0.0033329928105371312,0.001999795686322278,0.0012100932337598235,0.0006050466168799131,-0.004538285764758552,-0.0043963900431694845,-0.00014189572158906742,-0.0010135408684933392,0.0024403928021807333,0.0025094253695412813,0.004538285764758551,0.0045382857647585486
15,0.0045382857647585486,0.004538285764758549,-7.415687137769929e-19,3.751926208410778e-19,3.3831740635936e-20,-2.352138464695431e-18,0.004747561509942961,0.0,0.002889105989015872,0.0017334635934095224,0.0010489334384011693,0.0005244667192005857,-0.003965840404068592,-0.003832269289999785,-0.00013357111406880721,-0.0009540793862057662,0.0021502498281919004,0.0017565977586788961,0.003965840404068591,0.003965840404068589
16,0.00396584040406859,0.00396584040406859,-5.537046396201546e-19,2.80143823561338e-19,2.5261033008165533e-20,-1.756263386972588e-18,0.003323293056960071,0.0,0.0025043358597650928,0.0015026015158590552,0.0009092368484513622,0.0004546184242256821,-0.003460044530124688,-0.003336861259822586,-0.00012318327030210239,-0.0008798805021578744,0.0018882876876109484,0.0012296184310752265,0.0034600445301246874,0.003460044530124686
17,0.0034600445301246866,0.0034600445301246866,-4.1181782571748986e-19,2.08356968773745e-19,1.8787893299823105e-20,-1.3062208940608617e-18,0.0023263051398720483,0.0,0.002170809282300412,0.0013024855693802469,0.0007881450016903608,0.0003940725008451812,-0.00301489836359509,-0.0029029398208486453,-0.00011195854274644563,-0.000799703876760326,0.0016538913589014973,0.0008607329017526582,0.0030148983635950896,0.0030148983635950887
18,0.0030148983635950887,0.0030148983635950887,-3.0522968259061002e-19,1.5442928273818738e-19,1.3925144445751236e-20,-9.681401920686384e-19,0.001628413597910433,0.0,0.0018817016582446948,0.0011290209949468167,0.0006831801249008961,0.00034159006245044874,-0.002624338200840445,-0.0025236637135860915,-0.00010067448725435347,-0.0007191034803882392,0.0014455863012689681,0.0006025130312268603,0.0026243382008404445,0.0026243382008404436
19,0.0026243382008404436,0.0026243382008404436,-2.25530821025284e-19,1.141060811343273e-19,1.0289134507138405e-20,-7.153480308062715e-19,0.0011398895185373026,0.0,0.0016310972868554528,0.0009786583721132717,0.000592194433839689,0.00029609721691984514,-0.0022825038191795445,-0.0021926985441070982,-8.980527507244641e-05,-0.0006414662505174742,0.0012614353534196442,0.0004217591218588021,0.0022825038191795445,0.002282503819179544
20,0.0022825038191795436,0.002282503819179543,-1.6618060496599868e-19,8.407816504634637e-20,7.581467531575662e-21,-5.270985490151473e-19,0.0007979226629761114,0.0,0.0014138683183544567,0.0008483209910126739,0.0005133261854208396,0.00025666309271042036,-0.0019838926016603076,-0.0019042705551662327,-7.962204649407516e-05,-0.0005687289035291084,0.0010992980449961649,0.00029523138530116133,0.0019838926016603076,0.001983892601660307
21,0.0019838926016603076,0.0019838926016603068,-1.22142744650009e-19,6.179745130906456e-20,5.5723786357081086e-21,-3.8741743352613314e-19,0.0005585458640832776,0.0,0.0012255698282107512,0.0007353418969264507,0.0004449615828541248,0.00022248079142706285,-0.0017234387682592191,-0.0016531768535107201,-7.026191474849926e-05,-0.0005018708196321376,0.0009569960630667884,0.0002066619697108128,0.001723438768259219,0.0017234387682592187
22,0.001723438768259219,0.0017234387682592187,-8.957134607667325e-20,4.531813095998065e-20,4.0864109995192775e-21,-2.8410611791916423e-19,0.00039098210485829414,0.0,0.001062348865394106,0.0006374093192364637,0.0003857017542437068,0.00019285087712185377,-0.0014965439979954583,-0.001434768807308581,-6.177519068687764e-05,-0.00044125136204912596,0.0008324151648875634,0.0001446633787975689,0.0014965439979954583,0.0014965439979954581
