h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
21,-0.006788487107704979,-0.006788487107704969,2.8534668467645012e-18,1.1478316508533274e-18,0.0005585458640832833,0.0,0.0,0.0,-0.00419365694062175,-0.00251619416437305,-0.001522570307536452,-0.0007612851537682278,0.0064558115978510175,0.006030622285592389,0.000425189312258628,0.0035956123802163426,-0.003086052620687425,0.0,-0.005897265733767731,-0.005897265733767736
22,-0.005897265733767736,-0.005897265733767729,2.092542354293967e-18,8.417432106257733e-19,0.00039098210485829826,0.0,0.0,0.0,-0.0036351471700521686,-0.0021810883020313013,-0.0013197949243378053,-0.0006598974621689041,0.005511858924502265,0.005171139590748192,0.0003407193337540739,0.002824691631673114,-0.0027163409344696317,0.0,-0.005120876819643965,-0.005120876819643968
23,-0.005120876819643969,-0.005120876819643963,1.5313605410969484e-18,6.160029859579522e-19,0.0002736874734008088,0.0,0.0,0.0,-0.0031510195361805493,-0.0018906117217083302,-0.0011440250960405196,-0.000572012548020261,0.004718872519434404,0.0044430204576697725,0.00027585206176463235,0.0022440593431481836,-0.0023834810037892404,0.0,-0.0044451850460335935,-0.004445185046033596
24,-0.004445185046033596,-0.004445185046033593,1.1185590039316839e-18,4.49950007134504e-19,0.00019158123138056615,0.0,0.0,0.0,-0.002731367851951093,-0.001638820711170656,-0.0009916642322497146,-0.0004958321161248583,0.004049171453608278,0.0038237005462038467,0.0002254709074044322,0.0018020877128407968,-0.002086280820095671,0.0,-0.003857590222227711,-0.0038575902222277134
25,-0.0038575902222277125,-0.0038575902222277086,8.156159403668526e-19,3.280885468689091e-19,0.00013410686196639628,0.0,0.0,0.0,-0.0023676052328494533,-0.0014205631397096723,-0.0008595947352264949,-0.00042979736761324843,0.003481033922676768,0.0032951414431854854,0.00018589247949128205,0.0014619102869041257,-0.001822592357497316,0.0,-0.0033469270607103707,-0.003346927060710372
26,-0.0033469270607103716,-0.003346927060710369,5.937684045870685e-19,2.3884846212056574e-19,9.387480337647739e-05,0.0,0.0,0.0,-0.002052288392649825,-0.0012313730355898954,-0.000745114207812874,-0.0003725571039064378,0.0029972218363726348,0.002842771656250352,0.00015445018012228367,0.0011970903756785038,-0.0015897733254053809,0.0,-0.0029033470329961567,-0.0029033470329961576
27,-0.002903347032996158,-0.002903347032996156,4.316239556421382e-19,1.736244590030266e-19,6.571236236353417e-05,0.0,0.0,0.0,-0.0017789653393932253,-0.0010673792036359354,-0.000645880157163036,-0.00032294007858151865,0.002583906435506188,0.0024547055191645184,0.00012920091634166959,0.000988576050518317,-0.0013849870959452496,0.0,-0.0025181940731426535,-0.0025181940731426543
28,-0.002518194073142654,-0.002518194073142652,3.133270196513299e-19,1.2603849616516001e-19,4.5998653654473914e-05,0.0,0.0,0.0,-0.0015420433551623352,-0.0009252260130974013,-0.0005598620628124068,-0.000279931031406204,0.00222988016797385,0.0021211619344800713,0.00010871823349377921,0.0008225574643243255,-0.0012053924567163297,0.0,-0.002183881514319376,-0.0021838815143193765
29,-0.002183881514319377,-0.0021838815143193756,2.271620892472141e-19,9.137790971974099e-20,3.219905755813174e-05,0.0,0.0,0.0,-0.0013366745582639472,-0.0008020047349583685,-0.00048529982830459057,-0.0002426499141522958,0.0019259737479852183,0.0018340275958281362,9.194615215708227e-05,0.0006889572872515766,-0.0010482589310490949,0.0,-0.0018937746904270864,-0.0018937746904270868
30,-0.001893774690427087,-0.001893774690427086,1.644966853169481e-19,6.617021048670899e-20,2.2539340290692216e-05,0.0,0.0,0.0,-0.0011586567062000846,-0.0006951940237200508,-0.00042066776621615726,-0.00021033388310807912,0.001664621005937073,0.0015865253277055182,7.809567823155514e-05,0.0005803656133732291,-0.0009110323270430214,0.0,-0.0016420816656463806,-0.0016420816656463808
