h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
11,-0.0591677807766968,-0.05916778077669676,3.2913822136445454e-19,2.9034082666988123e-18,1.7093433534951709e-18,0.019773267429999988,0.0,0.0,-0.038285770625867035,-0.015062155403520234,-0.01201307431998593,-0.006006537159992978,0.052326950785267966,0.05006422336056418,0.002262727424703791,0.016162338747884225,-0.029486030116117883,-0.007909306971999996,-0.052326950785267966,-0.05232695078526798
12,-0.05232695078526798,-0.052326950785267945,2.513419144964922e-19,2.2171481309336378e-18,1.3053167426690395e-18,0.01384128720099999,0.0,0.0,-0.03346378322574173,-0.014541755055045047,-0.01082852456011825,-0.005414262280059137,0.04608544581649711,0.044091123948519134,0.0019943218679779793,0.014245156199842707,-0.025937251459107944,-0.005536514880399997,-0.04608544581649711,-0.046085445816497116
13,-0.046085445816497116,-0.04608544581649709,1.9060095182650634e-19,1.6813373326246749e-18,9.898651965240216e-19,0.009688901040699992,0.0,0.0,-0.02920091696920806,-0.013644989765244843,-0.009677128536592774,-0.004838564268296397,0.04045696827244772,0.038705188910700065,0.0017517793617476622,0.012512709726769013,-0.022747649738604242,-0.0038755604162799976,-0.04045696827244772,-0.04045696827244773
14,-0.04045696827244773,-0.040456968272447706,1.4368379445382766e-19,1.2674696815170623e-18,7.462060712258008e-19,0.006782230728489994,0.0,0.0,-0.025447629134734175,-0.01255568518944451,-0.00859185210277026,-0.0042959260513851395,0.03542533958410428,0.03389071917773097,0.0015346204063733122,0.010961574331237942,-0.019903424345980466,-0.0027128922913959978,-0.03542533958410428,-0.035425339584104286
15,-0.035425339584104286,-0.035425339584104265,1.0776284584037061e-19,9.506022611377966e-19,5.596545534193506e-19,0.004747561509942996,0.0,0.0,-0.022153498831900858,-0.011393074695163319,-0.007590056354218428,-0.003795028177109222,0.030956896575675574,0.029615356693590174,0.0013415398820854033,0.009582427729181452,-0.017382402297660485,-0.0018990246039771986,-0.030956896575675574,-0.030956896575675578
16,-0.03095689657567558,-0.030956896575675564,8.046292489414328e-20,7.097830216495546e-19,4.178753998864484e-19,0.003323293056960097,0.0,0.0,-0.019269586831013208,-0.010232434875823888,-0.006678940177996854,-0.0033394700889984343,0.027008711837323195,0.025837927988619967,0.0011707838487032265,0.008362741776451618,-0.015158216365657635,-0.001329317222784039,-0.027008711837323195,-0.027008711837323198
17,-0.027008711837323198,-0.027008711837323184,5.984430039001898e-20,5.279011223518562e-19,3.1079482866554595e-19,0.002326305139872068,0.0,0.0,-0.016749808248811,-0.009119362893337776,-0.00585924867120062,-0.0029296243356003167,0.02353395177784681,0.02251355566772366,0.001020396110123154,0.007288543643736814,-0.013203007835976232,-0.0009305220559488272,-0.02353395177784681,-0.023533951777846812
18,-0.023533951777846812,-0.0235339517778468,4.435518734789636e-20,3.9126789068431685e-19,2.3035381418740464e-19,0.0016284135979104473,0.0,0.0,-0.014551651416543517,-0.008079625410761933,-0.005127781167867787,-0.0025638905839338987,0.020485283820212717,0.019596907916001147,0.000888375904211572,0.006345542172939797,-0.011489126063473047,-0.0006513654391641791,-0.020485283820212717,-0.020485283820212717
19,-0.020485283820212717,-0.020485283820212707,3.27735550959456e-20,2.8910349700563407e-19,1.7020587381624896e-19,0.001139889518537313,0.0,0.0,-0.012636471306762886,-0.007125926976642808,-0.004479070693714516,-0.0022395353468572625,0.017816963736472027,0.017044188370915102,0.0007727753655569278,0.005519824039692341,-0.009990151404812037,-0.0004559558074149253,-0.017816963736472027,-0.017816963736472027
20,-0.01781696373647203,-0.01781696373647202,2.4148935333854624e-20,2.1302362937257243e-19,1.2541485439092027e-19,0.000797922662976119,0.0,0.0,-0.01096951308976223,-0.006262538788666892,-0.003906493563857906,-0.001953246781928957,0.015486038728093985,0.014814282178166683,0.0006717565499273039,0.004798261070909312,-0.008681466724516883,-0.00031916906519044766,-0.015486038728093985,-0.015486038728093987
