h,bS_lag,bL_lag,WtA,lambda_L,chi,V_liab,g,tau,u_i,cA,cB,y,pi,i,QL,QL_fund,omega,X,v,s
24,0.0028243652696603176,0.0028243652696602747,-2.425087698252585e-15,3.646249614252763e-19,-7.292499228505524e-18,7.506146666840601e-19,2.1877497685516457e-18,-4.284343296747051e-18,0.00019158123138056756,0.00034832088056669687,0.009083474363666577,0.0037898969203325476,0.0010600731710984006,0.0007216178169297669,-0.0019773196977366124,-0.0019290845779034768,5.1619524902562233e-05,-0.004786368595279904,1.3966485608737915e-05,-1.4373988710258595e-18
25,0.0019773196977366436,0.001977319697736612,-2.423138454882887e-15,2.6587236770593065e-19,-5.317447354118612e-18,5.473231944571271e-19,1.5952342062355747e-18,-3.1240003205447265e-18,0.0001341068619663973,0.00024383962233185167,0.006360491362841023,0.002653761590304739,0.0007421956418550747,0.000505204682893934,-0.0013842583225174092,-0.0013504883879491164,3.613511071883586e-05,-0.0033507923679479672,9.77703707663752e-06,-1.0472503362766331e-18
26,0.0013842583225174314,0.0013842583225174086,-2.4210591844066193e-15,1.935550836899175e-19,-3.87110167379835e-18,3.984512855647884e-19,1.1613305021394981e-18,-2.274272233356562e-18,9.387480337647814e-05,0.000170695382381944,0.004453393339481068,0.0018580579748257047,0.0005196105441285368,0.00035368007544074614,-0.0009690493818581879,-0.000945407701049837,2.529531297548728e-05,-0.002345725036793379,6.844179292412112e-06,-7.618250239846151e-19
27,0.0009690493818582042,0.0009690493818581875,-2.418886376671282e-15,1.4069965698997847e-19,-2.8139931397995697e-18,2.896434345067115e-19,8.441979419398657e-19,-1.6532209696322711e-18,6.571236236353471e-05,0.00011949066431187346,0.003117910085116397,0.0013008570840153063,0.0003637648834572364,0.0002475948040921526,-0.0006783695022225403,-0.0006618189362261162,1.770709386581381e-05,-0.0016420943478685614,4.7910546014831575e-06,-5.53402368802911e-19
28,0.0006783695022225523,0.0006783695022225402,-2.416646547013786e-15,1.0213752877791029e-19,-2.0427505755582064e-18,2.1025967838264977e-19,6.128251726674579e-19,-1.2001159631404642e-18,4.599865365447431e-05,8.364545067844934e-05,0.0021828095570269423,0.0009107102840497875,0.00025465452903628553,0.00017332591817261685,-0.0004748764537476606,-0.00046329034952182033,1.2395156688416345e-05,-0.0011495102864565211,3.3538040064170946e-06,-4.0146905457161397e-19
29,0.00047487645374766926,0.0004748764537476605,-2.4143589366635746e-15,7.404970836398497e-20,-1.4809941672796997e-18,1.5243826682742102e-19,4.442982501839069e-19,-8.700840732768369e-19,3.219905755813202e-05,5.8552827332678214e-05,0.0015281055495864463,0.0006375534185407518,0.00017826790874277327,0.00012133301192951852,-0.00033242258929223976,-0.0003243119555358129,8.676707002831077e-06,-0.0008046797459115287,2.347696327541671e-06,-2.9088951568683315e-19
30,0.0003324225892922461,0.0003324225892922397,-2.4120374906100377e-15,5.3622202608402904e-20,-1.0724440521680583e-18,1.1038633115089104e-19,3.2173321565041523e-19,-6.300608806487443e-19,2.253934029069242e-05,4.098749475891699e-05,0.0010697446450326346,0.0004463160415031809,0.00012479249863773612,8.493558960956038e-05,-0.0002327004352600338,-0.0002270228077741991,6.073744494796916e-06,-0.000563287310855612,1.6434045120412552e-06,-2.105254852214756e-19
31,0.00023270043526003834,0.0002327004352600337,-2.4096923034193727e-15,3.878672655341144e-20,-7.757345310682288e-19,7.984611286581116e-20,2.32720359320467e-19,-4.55744037002592e-19,1.5777538203484697e-05,2.8691509086754296e-05,0.00074885730967522,0.000312435827811715,8.7357277853919e-05,5.945617713044412e-05,-0.0001628926603533146,-0.00015891822742327398,4.251646417801682e-06,-0.0003943069720392219,1.1503918635237457e-06,-1.5219981662351757e-19
32,0.0001628926603533179,0.00016289266035331455,-2.4073306742231443e-15,2.8026537896658595e-20,-5.605307579331718e-19,5.769525574819902e-20,1.6815922737995028e-19,-3.293118202857441e-19,1.104427674243929e-05,2.0084190258082868e-05,0.0005242184913397195,0.00021871251872663313,6.11513831313941e-05,4.1619968308136285e-05,-0.00011402606265435177,-0.00011124391186049021,2.976165370183156e-06,-0.00027601786374403564,8.052787404568403e-07,-1.099222555144016e-19
33,0.00011402606265435415,0.00011402606265435174,-2.4049578752520153e-15,2.0231657044150425e-20,-4.046331408830084e-19,4.164876274323116e-20,1.2138994226490157e-19,-2.3772197026877165e-19,7.730993719707505e-06,1.4059001414271727e-05,0.00036696230727612867,0.00015310255401745866,4.280662485591727e-05,2.9134306147666106e-05,-7.981885556372992e-05,-7.787132567899998e-05,2.0833223212383788e-06,-0.00019321402486574275,5.636973788530247e-07,-7.93132475746386e-20
34,7.981885556373165e-05,7.98188555637299e-05,-2.402577710838572e-15,1.4591316292447882e-20,-2.9182632584895755e-19,3.003759252390611e-20,8.754789775468656e-20,-1.7144796643626573e-19,5.411695603795255e-06,9.841335762571202e-06,0.0002568783864757433,0.00010717371958939809,2.9964972022981907e-05,2.0394181615286183e-05,-5.58735106089512e-05,-5.4510227291857134e-05,1.458328968657943e-06,-0.00013525059209661602,3.945893171575865e-07,-5.717664140243727e-20
35,5.5873510608952444e-05,5.587351060895118e-05,-2.400192923439749e-15,1.0514330857793326e-20,-2.1028661715586645e-19,2.1644735789285277e-20,6.308598514675941e-20,-1.235433875790739e-19,3.7881869226566794e-06,6.888952755254053e-06,0.0001798173019395029,7.502258811058089e-05,2.0975650934234254e-05,1.4276012389773788e-05,-3.911161627055308e-05,-3.815731163074593e-05,1.0208319818557583e-06,-9.467580923750151e-05,2.7621310906252073e-07,-4.1183806651839264e-20
36,3.9111616270553976e-05,3.911161627055307e-05,-2.3978054881568453e-15,7.570318217611195e-21,-1.5140636435222384e-19,1.5584209768285395e-20,4.542190930566676e-20,-8.895123905693325e-20,2.651730845859676e-06,4.822275961190513e-06,0.0001258733503555636,5.2516313308464266e-05,1.468304254687818e-05,9.993252119298755e-06,-2.7378212333916015e-05,-2.6710195866436002e-05,7.14583255382732e-07,-6.62732676355287e-05,1.9334947552911607e-07,-2.9640775025380705e-20
37,2.7378212333916665e-05,2.7378212333916008e-05,-2.395416826112551e-15,5.446423384336944e-21,-1.089284676867388e-19,1.1211973138849767e-20,3.267854030602136e-20,-6.399547476596035e-20,1.8562115921017738e-06,3.375597777619786e-06,8.81119766174049e-05,3.6761674937856604e-05,1.0278174061853536e-05,6.9952986230285335e-06,-1.916478988199035e-05,-1.869717671393844e-05,5.002087209885957e-07,-4.639138985885655e-05,1.3534478536405946e-07,-2.1317019776131748e-20
38,1.9164789881990813e-05,1.9164789881990342e-05,-2.393027958863984e-15,3.9155368114422364e-21,-7.831073622884466e-20,8.060499607929831e-21,2.3493220868653187e-20,-4.6007557534447193e-20,1.299348114471242e-06,2.3629207928307046e-06,6.167870536396604e-05,2.5733302716720444e-05,7.1947444070917664e-06,4.896720318017119e-06,-1.3415373937150375e-05,-1.308804388322519e-05,3.5014632990090384e-07,-3.247402514226841e-05,9.474142749711575e-08,-1.5319847924147902e-20
39,1.3415373937150708e-05,1.3415373937150371e-05,-2.390639620026191e-15,2.813004077694028e-21,-5.62600815538805e-20,5.7908326130653775e-21,1.6878024466163994e-20,-3.30527979129055e-20,9.095436801298696e-07,1.6540457537128358e-06,4.317525770139834e-05,1.8013378279910724e-05,5.0363325830706354e-06,3.427709971665183e-06,-9.390772467695749e-06,-9.161641003631568e-06,2.4510254555445126e-07,-2.273184422250377e-05,6.631903889828475e-08,-1.1002447403502508e-20
