h,bS_lag,bL_lag,WtA,lambda_L,chi,V_liab,g,tau,u_i,cA,cB,y,pi,i,QL,QL_fund,omega,X,v,s
10,0.00953377300195845,0.009533773001958436,-1.0497643083672088e-16,3.7924904904352546e-18,-1.756410148120567e-18,2.184496230097709e-18,0.0282475248999998,0.0,0.0,0.00412371296154764,0.024787499508751518,0.017254628008977882,0.004963873025621323,0.0024819365128106586,-0.006752831646847875,-0.007024109328254173,0.0006122956795721107,-0.013411991370329935,-0.0014077141671764606,-0.00564950497999996
11,0.006752831646847882,0.006752831646847871,-1.0736811997180158e-16,2.920217677635146e-18,-1.352435814052836e-18,1.6820620971752347e-18,0.019773267429999845,0.0,0.0,0.002891100162005866,0.017968947394472357,0.012328325068662372,0.003518031099175812,0.0017590155495879043,-0.004767336193392729,-0.0049556256111223775,0.00042903989549597813,-0.009488683950784504,-0.0009852507947615506,-0.003954653485999969
12,0.004767336193392735,0.004767336193392726,-1.0914703623433856e-16,2.2299844083759293e-18,-1.0327691670948925e-18,1.284483783297451e-18,0.013841287200999882,0.0,0.0,0.002026063785256388,0.012893030544648168,0.008757266484634698,0.0024846968324400255,0.0012423484162200117,-0.0033576990097741177,-0.0034886837445664252,0.00030054853478589876,-0.006693184694501607,-0.000689599566380273,-0.0027682574401999764
13,0.0033576990097741216,0.003357699009774116,-1.10455321206317e-16,1.6910715096850796e-18,-7.831832850469599e-19,9.740668690005663e-19,0.00968890104069991,0.0,0.0,0.0014194134625282557,0.009185521023558818,0.006195027069573152,0.0017505368274500477,0.000875268413725023,-0.0023608681758353683,-0.002452140725040294,0.00021049639208461032,-0.004711271924440739,-0.0004826809733885486,-0.001937780208139982
14,0.0023608681758353713,0.0023608681758353666,-1.1140499134917928e-16,1.274807753454906e-18,-5.903997071892465e-19,7.342965627850417e-19,0.006782230728489933,0.0,0.0,0.0009941850292284368,0.006511601414207846,0.004369611444549546,0.0012311080848266189,0.0006155540424133088,-0.001657947561347664,-0.0017216259699617726,0.00014740476046216455,-0.003311161194992269,-0.0003378569488062082,-0.0013564461456979865
15,0.0016579475613476662,0.0016579475613476627,-1.1208322032350187e-16,9.561058150911793e-19,-4.427997803919346e-19,5.507224220887809e-19,0.00474756150994295,0.0,0.0,0.0006962330300104779,0.004599772502739463,0.0030755913363827775,0.0008646967365347974,0.0004323483682673983,-0.0011632843759812215,-0.0012077510392076247,0.00010321252421345425,-0.00232457541567709,-0.00023648980881296785,-0.0009495123019885899
16,0.0011632843759812233,0.0011632843759812207,-1.1255716317772526e-16,7.138923419347471e-19,-3.3062383602597766e-19,4.112060751596228e-19,0.0033232930569600627,0.0,0.0,0.0004875177838734602,0.0032410655942037197,0.002161507174794466,0.0006067762425878204,0.0003033881212939099,-0.0008156856768883219,-0.0008467571928032818,7.226364259781957e-05,-0.0016306488765293686,-0.0001655377421475743,-0.0006646586113920125
17,0.0008156856768883231,0.0008156856768883213,-1.1287812187573398e-16,5.30957429313968e-19,-2.459014780443208e-19,3.0583451839996925e-19,0.002326305139872042,0.0,0.0,0.00034134126205395823,0.002279561703889997,0.0015174339785379843,0.0004255018957083792,0.0002127509478541894,-0.0005716865665756563,-0.0005934085251379646,5.0592130174378566e-05,-0.0011432102751758979,-0.00011587380839650061,-0.00046526102797440845
18,0.0005716865665756571,0.0005716865665756558,-1.1308501318299132e-16,3.935331534915292e-19,-1.8225638960932006e-19,2.2667734893174177e-19,0.0016284135979104284,0.0,0.0,0.0002389790452628065,0.0016012047186672272,0.0010644352202379636,0.0002982378577951538,0.00014911892889757675,-0.00040054066323092603,-0.0004157317136693047,3.541835393154025e-05,-0.000801142049211079,-8.111033530570794e-05,-0.0003256827195820857
19,0.0004005406632309267,0.0004005406632309257,-1.132071825986133e-16,2.907772745242965e-19,-1.3466722121133087e-19,1.6748937448845354e-19,0.001139889518537299,0.0,0.0,0.000167305797408954,0.0011236518749788951,0.0007462417523970469,0.00020896346941891772,0.00010448173470945874,-0.0002805619475706393,-0.00029118838538681844,2.4794816168496214e-05,-0.0005612554368514514,-5.677655667913724e-05,-0.0002279779037074598
