h,bS_lag,bL_lag,WtA,lambda_L,chi,V_liab,g,tau,u_i,cA,cB,y,pi,i,QL,QL_fund,omega,X,v,s
13,1.2414259653849582,1.2414259653849569,-1.083021297815452,0.00968890104070001,0.0,0.0,0.0,0.0,0.0,6.162068903610698,-6.181819142532633,-0.032175967061313315,0.030627374278337616,0.015313687139167587,-1.25194323388114,-0.776708810556808,-0.4134436766022258,-5.47366559687845,0.10257703708383044,0.0
14,1.2519432338811405,1.2519432338811392,-1.0851483527163623,0.006782230728490008,0.0,0.0,0.0,0.0,0.0,6.161310414355523,-6.153788449415085,-0.021210467821109358,0.033726408873166414,0.016863204436581902,-1.258963669445715,-0.7777889262910229,-0.4185997484599079,-5.53992855023454,0.10378077355372246,0.0
15,1.2589636694457154,1.258963669445714,-1.0863102577027541,0.004747561509943006,0.0,0.0,0.0,0.0,0.0,6.15893395671772,-6.132018360327407,-0.013405527896562797,0.03590603437152784,0.01795301718576267,-1.2635164129205396,-0.7783311196504413,-0.422079583846169,-5.58465654960396,0.10459148999253055,0.0
16,1.26351641292054,1.263516412920539,-1.0867968847824272,0.0033232930569601048,0.0,0.0,0.0,0.0,0.0,6.1554256157040195,-6.1147908009832035,-0.0078770607022558,0.0374309853696807,0.018715492684839102,-1.2663318141160367,-0.7784870722791108,-0.42438629382405724,-5.614286090988026,0.10512708617496752,0.0
17,1.266331814116037,1.266331814116036,-1.086811144033808,0.0023263051398720734,0.0,0.0,0.0,0.0,0.0,6.1511262146076655,-6.100825493600658,-0.003974778247949118,0.03849201994608631,0.019246009973041878,-1.267926188670684,-0.778367830557837,-0.4258720016049722,-5.633335322978339,0.10547011065103835,0.0
18,1.2679261886706845,1.2679261886706834,-1.0864950721850886,0.0016284135979104516,0.0,0.0,0.0,0.0,0.0,6.146274616125786,-6.089186686173211,-0.001227464128129574,0.03922544284077745,0.019612721420387474,-1.2686635413155622,-0.7780536081083316,-0.4267831655847915,-5.644973370189008,0.10567835692319819,0.0
19,1.2686635413155627,1.2686635413155614,-1.0859480946196238,0.0011398895185373162,0.0,0.0,0.0,0.0,0.0,6.1410381691828935,-6.07919919360135,0.0007028939931243983,0.03972808098832625,0.019864040494161878,-1.2687999918240593,-0.777601818702195,-0.4272922923845478,-5.651421890833859,0.10579228527744883,0.0
20,1.2687999918240598,1.2687999918240584,-1.0852398087797086,0.0007979226629761214,0.0,0.0,0.0,0.0,0.0,6.1355340910315155,-6.070380112924655,0.002057063369796719,0.0400684335898156,0.020034216794906523,-1.2685154946952018,-0.7770532960967265,-0.42752012931122724,-5.6542377116611435,0.1058402203618342,0.0
21,1.2685154946952022,1.2685154946952009,-1.0844189325492222,0.0005585458640832851,0.0,0.0,0.0,0.0,0.0,6.129844470048937,-6.062386176049557,0.003005700234326447,0.04029481715546368,0.02014740857773062,-1.267936359646359,-0.7764369520380179,-0.42755119568260236,-5.654511459523112,0.1058419906617573,0.0
22,1.2679363596463595,1.2679363596463582,-1.0835195681214784,0.0003909821048582996,0.0,0.0,0.0,0.0,0.0,6.124026785696564,-6.054974426240709,0.00366934383075046,0.04044124028823404,0.020220620144115797,-1.2671511773499393,-0.7757731918360511,-0.4274446530231986,-5.653007004574149,0.10581147672910096,0.0
