h,bS_lag,bL_lag,WtA,lambda_L,chi,V_liab,g,tau,u_i,cA,cB,y,pi,i,QL,QL_fund,omega,X,v,s
22,-0.0001558509052465177,-0.0001558509052465186,-7.596350478017764e-17,4.745077616961983e-20,-1.6079245065780355e-19,1.2841911047662212e-19,2.131629770237057e-19,0.0003909821048583066,0.0,-6.501592940876764e-05,-0.0006587186508859535,-0.00029066142622741637,-8.131378896918501e-05,-4.0656894484592466e-05,0.00010912313571774176,0.0001132471359046306,-9.634718540634747e-06,0.00021835423940075584,2.2058805783807555e-05,8.857562542806288e-05
23,-0.00010912313571774102,-0.0001091231357177417,-7.594871390305967e-17,3.472534074231275e-20,-1.1767083889048356e-19,9.397943993970983e-20,1.559965422764392e-19,0.00027368747340081486,0.0,-4.551271376694485e-05,-0.00046131757556103876,-0.0002035498504152048,-5.693469685319708e-05,-2.8467348426598507e-05,7.640020953710876e-05,7.928645228243886e-05,-6.7444533269540715e-06,0.00015288279724176348,1.544111226007124e-05,6.200293779964409e-05
24,-7.64002095371082e-05,-7.64002095371087e-05,-7.591744001970216e-17,2.536459671612413e-20,-8.595087362435324e-20,6.864585178204892e-20,1.1394530044539906e-19,0.00019158123138057057,0.0,-3.1859696204891095e-05,-0.000323031618295924,-0.00014252915349562703,-3.986195423490775e-05,-1.9930977117453854e-05,5.348728822421779e-05,5.5507374112593114e-05,-4.721193943698303e-06,0.00010703570662179755,1.0808752191539133e-05,4.340205645975089e-05
25,-5.34872882242174e-05,-5.348728822421777e-05,-7.587409275489173e-17,1.8495018438840538e-20,-6.26725120177576e-20,5.005426692441067e-20,8.308511490810349e-20,0.0001341068619663995,0.0,-2.2302193259728978e-05,-0.0002261778379193807,-9.979296061146128e-05,-2.7907274639595726e-05,-1.3953637319797846e-05,3.744474095813384e-05,3.8858656341845056e-05,-3.304874802096966e-06,7.493403897005597e-05,7.5661130859612225e-06,3.038143952182565e-05
26,-3.744474095813355e-05,-3.744474095813382e-05,-7.582192624046253e-17,1.346437342347593e-20,-4.5625588748927545e-20,3.643950632097097e-20,6.048596365309935e-20,9.387480337647974e-05,0.0,-1.5611742129205803e-05,-0.00015835287284084545,-6.98665651044692e-05,-1.953708301728482e-05,-9.768541508642399e-06,2.6213173140445186e-05,2.720284015315707e-05,-2.313432256304357e-06,5.245843610509056e-05,5.296272307262114e-06,2.1267007665277973e-05
27,-2.621317314044498e-05,-2.621317314044518e-05,-7.576333553802549e-17,9.787563757834437e-21,-3.316629335979735e-20,2.648871805639813e-20,4.3968642809368374e-20,6.571236236353588e-05,0.0,-1.0928324895996868e-05,-0.00011086147612190883,-4.891245202896052e-05,-1.3676972571533214e-05,-6.838486285766599e-06,1.835016620186176e-05,1.9042895526126722e-05,-1.619412717458974e-06,3.672325384621022e-05,3.707387122967717e-06,1.4886905365694593e-05
28,-1.8350166201861612e-05,-1.8350166201861754e-05,-7.570007920243266e-17,7.105046283465008e-21,-2.4076272216741788e-20,1.9228847181681608e-20,3.191797774309704e-20,4.5998653654475154e-05,0.0,-7.64988113985963e-06,-7.761040445039818e-05,-3.4241700762089794e-05,-9.574397749879569e-06,-4.7871988749397784e-06,1.2845597897660374e-05,1.3330489272215312e-05,-1.1335940683867846e-06,2.570747448156961e-05,2.595169206560739e-06,1.0420833755986223e-05
29,-1.2845597897660262e-05,-1.2845597897660367e-05,-7.563344562348983e-17,5.1511585555121376e-21,-1.7455297357137802e-20,1.3940914206719168e-20,2.3140533863745357e-20,3.219905755813264e-05,0.0,-5.3549441688203144e-06,-5.433103932502938e-05,-2.397071129898016e-05,-6.70234185299683e-06,-3.351170926498411e-06,8.992163920582277e-06,9.331578123050613e-06,-7.935184804577355e-07,1.7995841998743087e-05,1.8166175377847496e-06,7.294583629190363e-06
30,-8.992163920582201e-06,-8.992163920582275e-06,-7.556437684825664e-17,3.730149298819139e-21,-1.2640042913789448e-20,1.0095144770382847e-20,1.675693831512595e-20,2.2539340290692867e-05,0.0,-3.748474865826606e-06,-3.8033641622754595e-05,-1.6780272863329606e-05,-4.691773535186229e-06,-2.3458867675931118e-06,6.2946397917415035e-06,6.5322247601010976e-06,-5.554642778425393e-07,1.2597400173301907e-05,1.271631814357905e-06,5.106208540433259e-06
31,-6.294639791741447e-06,-6.294639791741502e-06,-7.549356042482761e-17,2.6981413261458472e-21,-9.142964374307703e-21,7.302154717243593e-21,1.2120852047941105e-20,1.5777538203485022e-05,0.0,-2.623939513482334e-06,-2.662452452359874e-05,-1.1746585906610296e-05,-3.284309879882598e-06,-1.6421549399412974e-06,4.406311576019845e-06,4.572618519539915e-06,-3.8882567810906927e-07,8.818338486041512e-06,8.901420345783558e-07,3.574345978303284e-06
32,-4.406311576019805e-06,-4.406311576019844e-06,-7.542149731069846e-17,1.9496247001828085e-21,-6.606529096273956e-21,5.2763956666534354e-21,8.758293092705832e-21,1.1044276742439525e-05,0.0,-1.8367612811769106e-06,-1.8637664206138052e-05,-8.22281136954133e-06,-2.2990517739715976e-06,-1.1495258869857975e-06,3.08445057465472e-06,3.2008641436751502e-06,-2.7217832304049325e-07,6.172917639915332e-06,6.230993042136545e-07,2.5020421848123013e-06
33,-3.08445057465469e-06,-3.0844505746547183e-06,-7.534855194102627e-17,1.4073853304444667e-21,-4.769088191372764e-21,3.808898121865449e-21,6.322392826297024e-21,7.730993719707675e-06,0.0,-1.2857347423329054e-06,-1.3046618226575807e-05,-5.756070504277545e-06,-1.6093540048006401e-06,-8.046770024003193e-07,2.1591319490923964e-06,2.2406207893158803e-06,-1.905250036526495e-07,4.3210834709539094e-06,4.3616945180534e-07,1.7514295293686124e-06
34,-2.159131949092375e-06,-2.1591319490923956e-06,-7.527498904909431e-17,1.0150233595326773e-21,-3.439524210747631e-21,2.7470234939514452e-21,4.559786341389975e-21,5.411695603795377e-06,0.0,-9.000152600080281e-07,-9.132761826640109e-06,-4.029301608338914e-06,-1.1265568550674927e-06,-5.632784275337457e-07,1.5114007963130625e-06,1.5684426491235776e-06,-1.333675930243245e-07,3.024779385138708e-06,3.053185851068522e-07,1.2260006705580298e-06
35,-1.5114007963130468e-06,-1.5114007963130617e-06,-7.520100068151502e-17,7.314138914279597e-22,-2.478480681274029e-21,1.9794728118179537e-21,3.2857283930604235e-21,3.7881869226567675e-06,0.0,-6.300111611410557e-07,-6.39299904939951e-06,-2.8205377541964975e-06,-7.885944111296999e-07,-3.9429720556484943e-07,1.057984854171536e-06,1.09791398025781e-06,-9.335736122193636e-08,2.117356248060785e-06,2.1372299369890077e-07,8.582004693906216e-07
36,-1.057984854171525e-06,-1.0579848541715354e-06,-7.512672597748679e-17,5.266180018281318e-22,-1.7845060905173016e-21,1.4252204245089268e-21,2.365724443003505e-21,2.6517308458597396e-06,0.0,-4.4100805689507e-07,-4.475132850202364e-06,-1.974389997257975e-06,-5.520184382772732e-07,-2.7600921913863634e-07,7.405915874529132e-07,7.685418886404593e-07,-6.535017635391807e-08,1.4821548151330374e-06,1.4960608750024423e-07,6.007403285734357e-07
37,-7.405915874529052e-07,-7.405915874529128e-07,-7.505226562230372e-17,3.7887239575968416e-22,-1.283852992899948e-21,1.0253669165217002e-21,1.7020073076052995e-21,1.8562115921018193e-06,0.0,-3.087057641513517e-07,-3.132610074145935e-06,-1.382079912755812e-06,-3.864141045582126e-07,-1.9320705227910606e-07,5.184152269496916e-07,5.37980393415256e-07,-4.574513542652388e-08,1.03751114341877e-06,1.0472425712924889e-07,4.205182300014054e-07
38,-5.184152269496858e-07,-5.184152269496913e-07,-7.497769239043348e-17,2.723785331677733e-22,-9.229862057064493e-22,7.371556751210062e-22,1.2236052535757019e-21,1.2993481144712748e-06,0.0,-2.160940981974504e-07,-2.192835755108943e-06,-9.674594625199094e-07,-2.70490483548827e-07,-1.3524524177441336e-07,3.6289122740869053e-07,3.7658682133162734e-07,-3.202160090707559e-08,7.262592133164832e-07,7.33069778916034e-08,2.9436276100098394e-07
39,-3.6289122740868635e-07,-3.6289122740869037e-07,-7.490305882360667e-17,1.956824725126374e-22,-6.630927214680547e-22,5.295881560737755e-22,8.790637742793859e-22,9.095436801298931e-07,0.0,-1.5126590092833906e-07,-1.534989463631151e-06,-6.772234193207525e-07,-1.8934364951097792e-07,-9.467182475548887e-08,2.540241488927155e-07,2.6361105312570834e-07,-2.2415123752074987e-08,5.083821692638234e-07,5.131488345565046e-08,2.06053932700689e-07
